Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
bookFirefightersManual,items,perk  book,,,Firefighter's Manual,,,,,,,,,,,,,,
bookFirefightersManualLongDesc,items,perk  book,,,This book is a collection of all of the books in Fireman's Almanac Set,,,,,,,,,,,,,,
bookNightStalkerCollectersEdition,items,perk  book,,,Night Stalker Collector's Edition,,,,,,,,,,,,,,
bookNightStalkerCollectersEditionLongDesc,items,perk  book,,,This is the Collector's Edition of the Night Stalker serires and contains all of the books in the Night Stalker Set,,,,,,,,,,,,,,
bookTheCharmedLife,items,perk  book,,,The Charmed Life,,,,,,,,,,,,,,
bookTheCharmedLifeLongDesc,items,perk  book,,,Live that charmed life with the complete Lucky Looter Collection,,,,,,,,,,,,,,
bookSoYouBoughtAHandCannon,items,perk  book,,,"So, You Bought A Hand Cannon",,,,,,,,,,,,,,
bookSoYouBoughtAHandCannonLongDesc,items,perk  book,,,Time to put that hand cannon to use with knowledge of the entire Magnum Enforce set,,,,,,,,,,,,,,
bookBabeRuthsAutobiography,items,perk  book,,,Babe Ruth's Autobiography,,,,,,,,,,,,,,
bookBabeRuthsAutobiographyLongDesc,items,perk  book,,,Learn how to hit a home run on AND off the field with the complete Batter Up series,,,,,,,,,,,,,,
bookUnofficialThievesGuide,items,perk  book,,,Unofficial Thieves' Guide,,,,,,,,,,,,,,
bookUnofficialThievesGuideLongDesc,items,perk  book,,,Slip in and out and no one will notice with the knowledge of the Great Heist!,,,,,,,,,,,,,,
bookUltimateWastelandAdventures,items,perk  book,,,Ultimate Wasteland Adventures,,,,,,,,,,,,,,
bookUltimateWastelandAdventuresLongDesc,items,perk  book,,,Treasure is just a step away with this ultimate guide to the Wasteland Treasures,,,,,,,,,,,,,,
bookSupremeSeamstress,items,perk  book,,,Supreme Seamstress,,,,,,,,,,,,,,
bookSupremeSeamstressLongDesc,items,perk  book,,,Claim your title as Seamstress Supreme with the complete collection of Needle and Thread,,,,,,,,,,,,,,
bookDaveyCrocketsJournal,items,perk  book,,,Davey Crocket's Journal,,,,,,,,,,,,,,
bookDaveyCrocketsJournalLongDesc,items,perk  book,,,Tame the wild just like Davey Crocket would with the skills to do massive damage that you've learned from the The Hunter's Journal,,,,,,,,,,,,,,
bookADiggersGuideToDirt,items,perk  book,,,A Digger's Guide to Dirt,,,,,,,,,,,,,,
bookADiggersGuideToDirtLongDesc,items,perk  book,,,Not all dirt is just dirt. Learn the secrets that dirt holds with the complete collection of the Art of Mining,,,,,,,,,,,,,,
bookRangersParadise,items,perk  book,,,Ranger's Paradise,,,,,,,,,,,,,,
bookRangersParadiseLongDesc,items,perk  book,,,Become one with the bow as you learn the Ranger's Guide to Archery,,,,,,,,,,,,,,
book9mmArmy,items,perk  book,,,9mm Army,,,,,,,,,,,,,,
book9mmArmyLongDesc,items,perk  book,,,Join the 9mm army and become just like Pistol Pete himself!,,,,,,,,,,,,,,
bookTheLegacyOfAshsBoomstick,items,perk  book,,,The Legacy of Ash's Boomstick,,,,,,,,,,,,,,
bookTheLegacyOfAshsBoomstickLongDesc,items,perk  book,,,Learn what happened to Ash's Boomstick and become the true Shotgun Messiah,,,,,,,,,,,,,,
bookOneShotOneKill,items,perk  book,,,"One Shot, One Kill",,,,,,,,,,,,,,
bookOneShotOneKillLongDesc,items,perk  book,,,"Earn the phrase One Shot, One Kill with the complete Sniper series of books",,,,,,,,,,,,,,
bookTheSprayAndPrayBible,items,perk  book,,,The Spray and Pray Bible,,,,,,,,,,,,,,
bookTheSprayAndPrayBibleLongDesc,items,perk  book,,,A little bit of spray and a whole lot of pray. Get better skills with the complete Machine Gunner collection,,,,,,,,,,,,,,
bookGuerrillaWarfare,items,perk  book,,,Guerrilla Warfare,,,,,,,,,,,,,,
bookGuerrillaWarfareLongDesc,items,perk  book,,,Take the war to the enemy with all of the skills of Urban Combat,,,,,,,,,,,,,,
bookAHackersGuideToEverything,items,perk  book,,,A Hacker's Guide to Everything,,,,,,,,,,,,,,
bookAHackersGuideToEverythingLongDesc,items,perk  book,,,HACK THE WORLD!! Everything you need to know about hacking can be learned in the Tech Junkie series,,,,,,,,,,,,,,
bookGreenStreetHooligans,items,perk  book,,,Green Street Hooligans,,,,,,,,,,,,,,
