Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
carRespawner,blocks,respawner,,,Car Respawner,,,,,,,,,,,,,,
busSchoolRespawner,blocks,respawner,,,School Bus Respawner,,,,,,,,,,,,,,
busSchoolShortRespawner,blocks,respawner,,,Short School Bus Respawner,,,,,,,,,,,,,,
busShuttleRespawner,blocks,respawner,,,Shuttle Bus Respawner,,,,,,,,,,,,,,
busCityRespawner,blocks,respawner,,,City Bus Respawner,,,,,,,,,,,,,,
armyTruckClosedRespawner,blocks,respawner,,,Army Truck Respawner,,,,,,,,,,,,,,
ambulanceTruck01Respawner,blocks,respawner,,,Ambulance Respawner,,,,,,,,,,,,,,
serviceTruckMoPowerRespawner,blocks,respawner,,,Mo Power Truck Respawner,,,,,,,,,,,,,,
serviceTruckWorkingStiffToolsRespawner,blocks,respawner,,,Working Stiffs Truck Respawner,,,,,,,,,,,,,,
vehicleRespawnersShortGroupDesc,blocks,block,,,Default Respawn Time 12 in game days if using the fault settings (actual time is 12 hours regardless of game settings),,,,,,,,,,,,,,
vehicleRespawnersMediumGroupDesc,blocks,block,,,Default Respawn Time 15 in game days if using the fault settings (actual time is 15 hours regardless of game settings),,,,,,,,,,,,,,
vehicleRespawnersLongGroupDesc,blocks,block,,,Default Respawn Time 17 in game days if using the fault settings (actual time is 17 hours regardless of game settings),,,,,,,,,,,,,,
vehicleRespawnersVeryLongGroupDesc,blocks,block,,,Default Respawn Time 24 in game days if using the fault settings (actual time is 24 hours regardless of game settings),,,,,,,,,,,,,,
